"FIPS","date_partial_school_closed","date_all_school_closed","earliest_date_school_closed"
13043,"NA","2020-03-18",2020-03-18
13045,"NA","2020-03-16",2020-03-16
13047,"NA","2020-03-16",2020-03-16
13049,"NA","2020-03-16",2020-03-16
13051,"NA","2020-03-16",2020-03-16
13053,"NA","2020-03-16",2020-03-16
13055,"NA","2020-03-16",2020-03-16
13057,"NA","2020-03-16",2020-03-16
13059,"NA","2020-03-16",2020-03-16
13061,"NA","2020-03-17",2020-03-17
13063,"NA","2020-03-16",2020-03-16
13065,"NA","2020-03-16",2020-03-16
13067,"NA","2020-03-16",2020-03-16
13069,"NA","2020-03-16",2020-03-16
13071,"NA","2020-03-16",2020-03-16
13073,"NA","2020-03-18",2020-03-18
13075,"NA","2020-03-16",2020-03-16
13077,"NA","2020-03-13",2020-03-13
13079,"NA","2020-03-17",2020-03-17
13081,"NA","2020-03-16",2020-03-16
13083,"NA","2020-03-16",2020-03-16
13085,"NA","2020-03-16",2020-03-16
13087,"NA","2020-03-16",2020-03-16
13089,"NA","2020-03-16",2020-03-16
13091,"NA","2020-03-17",2020-03-17
13093,"NA","2020-03-16",2020-03-16
13095,"NA","2020-03-16",2020-03-16
13097,"NA","2020-03-16",2020-03-16
13099,"NA","2020-03-16",2020-03-16
13101,"NA","2020-03-16",2020-03-16
13103,"NA","2020-03-18",2020-03-18
13105,"NA","2020-03-16",2020-03-16
13107,"NA","2020-03-17",2020-03-17
13109,"NA","2020-03-16",2020-03-16
13111,"NA","2020-03-16",2020-03-16
13113,"NA","2020-03-13",2020-03-13
13115,"NA","2020-03-11",2020-03-11
13117,"NA","2020-03-16",2020-03-16
13119,"NA","2020-03-16",2020-03-16
13121,"NA","2020-03-12",2020-03-12
13123,"NA","2020-03-16",2020-03-16
13125,"NA","2020-03-16",2020-03-16
13127,"NA","2020-03-16",2020-03-16
13129,"NA","2020-03-16",2020-03-16
13131,"NA","2020-03-16",2020-03-16
13133,"NA","2020-03-16",2020-03-16
13135,"NA","2020-03-16",2020-03-16
13137,"NA","2020-03-16",2020-03-16
13139,"NA","2020-03-16",2020-03-16
13141,"NA","2020-03-16",2020-03-16
13143,"NA","2020-03-17",2020-03-17
13145,"NA","2020-03-16",2020-03-16
13147,"NA","2020-03-16",2020-03-16
13149,"NA","2020-03-16",2020-03-16
13151,"NA","2020-03-16",2020-03-16
13153,"NA","2020-03-16",2020-03-16
13155,"NA","2020-03-16",2020-03-16
13157,"NA","2020-03-16",2020-03-16
13159,"NA","2020-03-17",2020-03-17
13161,"NA","2020-03-16",2020-03-16
13163,"NA","2020-03-18",2020-03-18
13165,"NA","2020-03-17",2020-03-17
13167,"NA","2020-03-17",2020-03-17
13169,"NA","2020-03-16",2020-03-16
13171,"NA","2020-03-16",2020-03-16
13173,"NA","2020-03-16",2020-03-16
13175,"NA","2020-03-17",2020-03-17
13177,"NA","2020-03-16",2020-03-16
13179,"NA","2020-03-13",2020-03-13
13181,"NA","2020-03-17",2020-03-17
13183,"NA","2020-03-18",2020-03-18
13185,"NA","2020-03-16",2020-03-16
13187,"NA","2020-03-16",2020-03-16
13189,"NA","2020-03-16",2020-03-16
13191,"NA","2020-03-17",2020-03-17
13193,"NA","2020-03-17",2020-03-17
13195,"NA","2020-03-16",2020-03-16
13197,"NA","2020-03-16",2020-03-16
13199,"NA","2020-03-16",2020-03-16
13201,"NA","2020-03-16",2020-03-16
13205,"NA","2020-03-16",2020-03-16
13207,"NA","2020-03-16",2020-03-16
13209,"NA","2020-03-17",2020-03-17
13211,"NA","2020-03-16",2020-03-16
13213,"NA","2020-03-16",2020-03-16
13215,"NA","2020-03-16",2020-03-16
13217,"NA","2020-03-16",2020-03-16
13219,"NA","2020-03-16",2020-03-16
13221,"NA","2020-03-16",2020-03-16
13223,"NA","2020-03-16",2020-03-16
13225,"NA","2020-03-17",2020-03-17
13227,"NA","2020-03-16",2020-03-16
13229,"NA","2020-03-17",2020-03-17
13231,"NA","2020-03-13",2020-03-13
13233,"NA","2020-03-16",2020-03-16
13235,"NA","2020-03-12",2020-03-12
13237,"NA","2020-03-16",2020-03-16
13239,"NA","2020-03-17",2020-03-17
13241,"NA","2020-03-16",2020-03-16
13243,"NA","2020-03-16",2020-03-16
13245,"NA","2020-03-17",2020-03-17
13247,"NA","2020-03-16",2020-03-16
13249,"NA","2020-03-16",2020-03-16
13251,"NA","2020-03-17",2020-03-17
13253,"NA","2020-03-13",2020-03-13
13255,"NA","2020-03-16",2020-03-16
13257,"NA","2020-03-16",2020-03-16
13259,"NA","2020-03-18",2020-03-18
13261,"NA","2020-03-16",2020-03-16
13263,"NA","2020-03-18",2020-03-18
13265,"NA","2020-03-16",2020-03-16
13267,"NA","2020-03-16",2020-03-16
13269,"NA","2020-03-16",2020-03-16
13271,"NA","2020-03-12",2020-03-12
13273,"NA","2020-03-16",2020-03-16
13275,"NA","2020-03-16",2020-03-16
13277,"NA","2020-03-16",2020-03-16
13279,"NA","2020-03-16",2020-03-16
13281,"NA","2020-03-16",2020-03-16
13283,"NA","2020-03-17",2020-03-17
13285,"NA","2020-03-16",2020-03-16
13287,"NA","2020-03-16",2020-03-16
13289,"NA","2020-03-17",2020-03-17
13291,"NA","2020-03-17",2020-03-17
13293,"NA","2020-03-13",2020-03-13
13295,"NA","2020-03-16",2020-03-16
13297,"NA","2020-03-16",2020-03-16
13299,"NA","2020-03-17",2020-03-17
13301,"NA","2020-03-16",2020-03-16
13303,"NA","2020-03-16",2020-03-16
13305,"NA","2020-03-17",2020-03-17
13307,"NA","2020-03-16",2020-03-16
13309,"NA","2020-03-17",2020-03-17
13311,"NA","2020-03-16",2020-03-16
13313,"NA","2020-03-16",2020-03-16
13315,"NA","2020-03-17",2020-03-17
13317,"NA","2020-03-16",2020-03-16
13319,"NA","2020-03-17",2020-03-17
13321,"NA","2020-03-16",2020-03-16
37001,"NA","2020-03-16",2020-03-16
37003,"NA","2020-03-16",2020-03-16
37005,"NA","2020-03-16",2020-03-16
37007,"NA","2020-03-16",2020-03-16
37009,"NA","2020-03-16",2020-03-16
37011,"NA","2020-03-16",2020-03-16
37013,"NA","2020-03-16",2020-03-16
37015,"NA","2020-03-16",2020-03-16
37017,"NA","2020-03-16",2020-03-16
37019,"NA","2020-03-16",2020-03-16
37021,"NA","2020-03-16",2020-03-16
37023,"NA","2020-03-16",2020-03-16
37025,"NA","2020-03-16",2020-03-16
37027,"NA","2020-03-16",2020-03-16
37029,"NA","2020-03-16",2020-03-16
37031,"NA","2020-03-16",2020-03-16
37033,"NA","2020-03-16",2020-03-16
37035,"NA","2020-03-16",2020-03-16
37037,"NA","2020-03-16",2020-03-16
37039,"NA","2020-03-16",2020-03-16
37041,"NA","2020-03-16",2020-03-16
37043,"NA","2020-03-16",2020-03-16
37045,"NA","2020-03-16",2020-03-16
37047,"NA","2020-03-16",2020-03-16
37049,"NA","2020-03-16",2020-03-16
37051,"NA","2020-03-16",2020-03-16
37053,"NA","2020-03-16",2020-03-16
37055,"NA","2020-03-16",2020-03-16
37057,"NA","2020-03-16",2020-03-16
37059,"NA","2020-03-16",2020-03-16
37061,"NA","2020-03-16",2020-03-16
37063,"NA","2020-03-16",2020-03-16
37065,"NA","2020-03-16",2020-03-16
37067,"NA","2020-03-16",2020-03-16
37069,"NA","2020-03-16",2020-03-16
37071,"NA","2020-03-16",2020-03-16
37073,"NA","2020-03-16",2020-03-16
37075,"NA","2020-03-16",2020-03-16
37077,"NA","2020-03-16",2020-03-16
37079,"NA","2020-03-16",2020-03-16
37081,"NA","2020-03-16",2020-03-16
37083,"NA","2020-03-16",2020-03-16
37085,"NA","2020-03-16",2020-03-16
37087,"NA","2020-03-16",2020-03-16
37089,"NA","2020-03-16",2020-03-16
37091,"NA","2020-03-16",2020-03-16
37093,"NA","2020-03-16",2020-03-16
37095,"NA","2020-03-16",2020-03-16
37097,"NA","2020-03-16",2020-03-16
37099,"NA","2020-03-16",2020-03-16
37101,"NA","2020-03-16",2020-03-16
37103,"NA","2020-03-16",2020-03-16
37105,"NA","2020-03-16",2020-03-16
37107,"NA","2020-03-16",2020-03-16
37109,"NA","2020-03-16",2020-03-16
37111,"NA","2020-03-16",2020-03-16
37113,"NA","2020-03-16",2020-03-16
37115,"NA","2020-03-16",2020-03-16
37117,"NA","2020-03-16",2020-03-16
37119,"NA","2020-03-16",2020-03-16
37121,"NA","2020-03-16",2020-03-16
37123,"NA","2020-03-16",2020-03-16
37125,"NA","2020-03-16",2020-03-16
37127,"NA","2020-03-16",2020-03-16
37129,"NA","2020-03-16",2020-03-16
37131,"NA","2020-03-16",2020-03-16
37133,"NA","2020-03-16",2020-03-16
37135,"NA","2020-03-16",2020-03-16
37137,"NA","2020-03-16",2020-03-16
37139,"NA","2020-03-16",2020-03-16
37141,"NA","2020-03-16",2020-03-16
37143,"NA","2020-03-16",2020-03-16
37145,"NA","2020-03-16",2020-03-16
37147,"NA","2020-03-16",2020-03-16
37149,"NA","2020-03-16",2020-03-16
37151,"NA","2020-03-16",2020-03-16
37153,"NA","2020-03-16",2020-03-16
37155,"NA","2020-03-16",2020-03-16
37157,"NA","2020-03-16",2020-03-16
37159,"NA","2020-03-16",2020-03-16
37161,"NA","2020-03-16",2020-03-16
37163,"NA","2020-03-16",2020-03-16
37165,"NA","2020-03-16",2020-03-16
37167,"NA","2020-03-16",2020-03-16
37169,"NA","2020-03-16",2020-03-16
37171,"NA","2020-03-16",2020-03-16
37173,"NA","2020-03-16",2020-03-16
37175,"NA","2020-03-16",2020-03-16
37177,"NA","2020-03-16",2020-03-16
37179,"NA","2020-03-16",2020-03-16
37181,"NA","2020-03-16",2020-03-16
37183,"NA","2020-03-16",2020-03-16
37185,"NA","2020-03-16",2020-03-16
37187,"NA","2020-03-16",2020-03-16
37189,"NA","2020-03-16",2020-03-16
37191,"NA","2020-03-16",2020-03-16
37193,"NA","2020-03-16",2020-03-16
37195,"NA","2020-03-16",2020-03-16
37197,"NA","2020-03-16",2020-03-16
37199,"NA","2020-03-16",2020-03-16
26001,"NA","2020-03-16",2020-03-16
26003,"NA","2020-03-16",2020-03-16
26005,"NA","2020-03-16",2020-03-16
26007,"NA","2020-03-16",2020-03-16
26009,"NA","2020-03-16",2020-03-16
26011,"NA","2020-03-16",2020-03-16
26013,"NA","2020-03-16",2020-03-16
26015,"2020-03-13","2020-03-16",2020-03-13
26017,"NA","2020-03-16",2020-03-16
26019,"NA","2020-03-16",2020-03-16
26021,"NA","2020-03-16",2020-03-16
26023,"NA","2020-03-13",2020-03-13
26025,"2020-03-13","2020-03-16",2020-03-13
26027,"NA","2020-03-16",2020-03-16
26029,"NA","2020-03-16",2020-03-16
26031,"NA","2020-03-16",2020-03-16
26033,"NA","2020-03-16",2020-03-16
26035,"NA","2020-03-16",2020-03-16
26037,"NA","2020-03-16",2020-03-16
26039,"NA","2020-03-16",2020-03-16
26041,"NA","2020-03-16",2020-03-16
26043,"NA","2020-03-16",2020-03-16
26045,"NA","2020-03-16",2020-03-16
26047,"NA","2020-03-16",2020-03-16
26049,"NA","2020-03-13",2020-03-13
26051,"NA","2020-03-16",2020-03-16
26053,"NA","2020-03-16",2020-03-16
26055,"NA","2020-03-16",2020-03-16
26057,"NA","2020-03-16",2020-03-16
26059,"NA","2020-03-16",2020-03-16
26061,"2020-03-13","2020-03-16",2020-03-13
26063,"NA","2020-03-16",2020-03-16
26065,"NA","2020-03-16",2020-03-16
26067,"NA","2020-03-13",2020-03-13
26069,"2020-03-13","NA",2020-03-13
26071,"NA","2020-03-16",2020-03-16
26073,"NA","2020-03-16",2020-03-16
26075,"NA","2020-03-16",2020-03-16
26077,"NA","2020-03-16",2020-03-16
26079,"NA","2020-03-16",2020-03-16
26081,"NA","2020-03-13",2020-03-13
26083,"NA","NA",NA
26085,"NA","2020-03-16",2020-03-16
26087,"NA","2020-03-13",2020-03-13
26089,"NA","2020-03-16",2020-03-16
26091,"NA","2020-03-16",2020-03-16
26093,"NA","2020-03-13",2020-03-13
26095,"NA","2020-03-16",2020-03-16
26097,"NA","2020-03-16",2020-03-16
26099,"NA","2020-03-16",2020-03-16
26101,"NA","2020-03-16",2020-03-16
26103,"2020-03-13","2020-03-16",2020-03-13
26105,"NA","2020-03-16",2020-03-16
26107,"NA","2020-03-16",2020-03-16
26109,"NA","2020-03-16",2020-03-16
26111,"NA","2020-03-16",2020-03-16
26113,"NA","2020-03-16",2020-03-16
26115,"NA","2020-03-16",2020-03-16
26117,"2020-03-13","2020-03-16",2020-03-13
26119,"NA","2020-03-16",2020-03-16
26121,"NA","2020-03-16",2020-03-16
26123,"NA","2020-03-16",2020-03-16
26125,"2020-03-13","2020-03-16",2020-03-13
26127,"NA","2020-03-16",2020-03-16
26129,"NA","2020-03-16",2020-03-16
26131,"NA","2020-03-16",2020-03-16
26133,"NA","2020-03-16",2020-03-16
26135,"2020-03-13","2020-03-16",2020-03-13
26137,"NA","2020-03-16",2020-03-16
26139,"NA","2020-03-16",2020-03-16
26141,"NA","2020-03-16",2020-03-16
26143,"2020-03-13","2020-03-16",2020-03-13
26145,"NA","2020-03-16",2020-03-16
26147,"NA","2020-03-16",2020-03-16
26149,"NA","2020-03-16",2020-03-16
26151,"2020-03-13","2020-03-16",2020-03-13
26153,"NA","2020-03-16",2020-03-16
26155,"NA","2020-03-16",2020-03-16
26157,"NA","2020-03-16",2020-03-16
26159,"NA","2020-03-16",2020-03-16
26161,"NA","2020-03-16",2020-03-16
26163,"NA","2020-03-16",2020-03-16
12001,"NA","2020-03-16",2020-03-16
12003,"NA","2020-03-16",2020-03-16
12005,"NA","2020-03-16",2020-03-16
12007,"NA","2020-03-16",2020-03-16
12009,"NA","2020-03-16",2020-03-16
12011,"NA","2020-03-16",2020-03-16
12013,"NA","2020-03-16",2020-03-16
12015,"NA","2020-03-16",2020-03-16
12017,"NA","2020-03-16",2020-03-16
12019,"NA","2020-03-17",2020-03-17
12021,"NA","2020-03-16",2020-03-16
12023,"NA","2020-03-16",2020-03-16
12027,"NA","2020-03-16",2020-03-16
12029,"NA","2020-03-16",2020-03-16
12031,"NA","2020-03-16",2020-03-16
12033,"NA","2020-03-16",2020-03-16
12035,"NA","2020-03-16",2020-03-16
12037,"NA","2020-03-16",2020-03-16
12039,"NA","2020-03-16",2020-03-16
12041,"NA","2020-03-16",2020-03-16
12043,"NA","2020-03-16",2020-03-16
12045,"NA","2020-03-16",2020-03-16
12047,"NA","2020-03-16",2020-03-16
12049,"NA","2020-03-16",2020-03-16
12051,"NA","2020-03-16",2020-03-16
12053,"NA","2020-03-16",2020-03-16
12055,"NA","2020-03-16",2020-03-16
12057,"NA","2020-03-16",2020-03-16
12059,"NA","2020-03-16",2020-03-16
12061,"NA","2020-03-16",2020-03-16
12063,"NA","2020-03-16",2020-03-16
12065,"NA","2020-03-16",2020-03-16
12067,"NA","2020-03-16",2020-03-16
12069,"NA","2020-03-16",2020-03-16
12071,"NA","2020-03-16",2020-03-16
12073,"NA","2020-03-16",2020-03-16
12075,"NA","2020-03-16",2020-03-16
12077,"NA","2020-03-16",2020-03-16
12079,"NA","2020-03-16",2020-03-16
12081,"NA","2020-03-16",2020-03-16
12083,"NA","2020-03-16",2020-03-16
12085,"NA","2020-03-16",2020-03-16
12086,"NA","2020-03-16",2020-03-16
12087,"NA","2020-03-16",2020-03-16
12089,"NA","2020-03-13",2020-03-13
12091,"NA","2020-03-13",2020-03-13
12093,"NA","2020-03-16",2020-03-16
12095,"NA","2020-03-16",2020-03-16
12097,"NA","2020-03-16",2020-03-16
12099,"NA","2020-03-16",2020-03-16
12101,"NA","2020-03-16",2020-03-16
12103,"NA","2020-03-16",2020-03-16
12105,"NA","2020-03-16",2020-03-16
12107,"NA","2020-03-16",2020-03-16
12109,"NA","2020-03-16",2020-03-16
12111,"NA","2020-03-16",2020-03-16
12113,"NA","2020-03-16",2020-03-16
12115,"NA","2020-03-13",2020-03-13
12117,"NA","2020-03-16",2020-03-16
12119,"NA","2020-03-16",2020-03-16
12121,"NA","2020-03-16",2020-03-16
12123,"NA","2020-03-16",2020-03-16
12125,"NA","2020-03-16",2020-03-16
12127,"NA","2020-03-16",2020-03-16
12129,"NA","2020-03-16",2020-03-16
12131,"NA","2020-03-16",2020-03-16
12133,"NA","2020-03-16",2020-03-16
1001,"NA","2020-03-16",2020-03-16
1003,"NA","2020-03-19",2020-03-19
1005,"NA","2020-03-19",2020-03-19
1007,"NA","2020-03-15",2020-03-15
1009,"NA","2020-03-16",2020-03-16
1011,"NA","2020-03-16",2020-03-16
1013,"NA","2020-03-19",2020-03-19
1015,"NA","2020-03-18",2020-03-18
1017,"NA","2020-03-19",2020-03-19
1019,"NA","2020-03-17",2020-03-17
1021,"NA","2020-03-16",2020-03-16
1023,"NA","2020-03-19",2020-03-19
1025,"NA","2020-03-16",2020-03-16
1027,"NA","2020-03-16",2020-03-16
1029,"NA","2020-03-17",2020-03-17
1031,"NA","2020-03-19",2020-03-19
1033,"NA","2020-03-17",2020-03-17
1035,"NA","2020-03-17",2020-03-17
1037,"NA","2020-03-16",2020-03-16
1039,"NA","2020-03-19",2020-03-19
1041,"NA","2020-03-19",2020-03-19
1043,"NA","2020-03-17",2020-03-17
1045,"NA","2020-03-18",2020-03-18
1047,"NA","2020-03-16",2020-03-16
1049,"NA","2020-03-16",2020-03-16
1051,"NA","2020-03-17",2020-03-17
1053,"NA","2020-03-19",2020-03-19
1055,"NA","2020-03-17",2020-03-17
1057,"NA","2020-03-16",2020-03-16
1059,"NA","2020-03-17",2020-03-17
1061,"NA","2020-03-18",2020-03-18
1063,"NA","2020-03-16",2020-03-16
1065,"NA","2020-03-16",2020-03-16
1067,"NA","2020-03-17",2020-03-17
1069,"NA","2020-03-17",2020-03-17
1071,"NA","2020-03-17",2020-03-17
1073,"2020-03-16","2020-03-17",2020-03-16
1075,"NA","2020-03-16",2020-03-16
1077,"NA","2020-03-17",2020-03-17
1079,"NA","2020-03-17",2020-03-17
1081,"NA","2020-03-16",2020-03-16
1083,"NA","2020-03-16",2020-03-16
1085,"NA","2020-03-16",2020-03-16
1087,"NA","2020-03-17",2020-03-17
1089,"NA","2020-03-16",2020-03-16
1091,"NA","2020-03-17",2020-03-17
1093,"NA","2020-03-16",2020-03-16
1095,"NA","2020-03-16",2020-03-16
1097,"NA","2020-03-18",2020-03-18
1099,"NA","2020-03-17",2020-03-17
1101,"NA","2020-03-16",2020-03-16
1103,"NA","2020-03-17",2020-03-17
1105,"NA","2020-03-16",2020-03-16
1107,"NA","2020-03-16",2020-03-16
1109,"NA","2020-03-19",2020-03-19
1111,"NA","2020-03-17",2020-03-17
1113,"NA","2020-03-16",2020-03-16
1115,"NA","2020-03-16",2020-03-16
1117,"NA","2020-03-16",2020-03-16
1119,"NA","2020-03-16",2020-03-16
1121,"NA","2020-03-17",2020-03-17
1123,"NA","2020-03-16",2020-03-16
1125,"NA","2020-03-16",2020-03-16
1127,"NA","2020-03-16",2020-03-16
1129,"NA","2020-03-17",2020-03-17
1131,"NA","2020-03-18",2020-03-18
1133,"NA","2020-03-17",2020-03-17
2013,"NA","2020-03-16",2020-03-16
2016,"NA","2020-03-16",2020-03-16
2020,"NA","2020-03-09",2020-03-09
2050,"NA","2020-03-16",2020-03-16
2060,"NA","2020-03-16",2020-03-16
2068,"NA","2020-03-16",2020-03-16
2070,"NA","2020-03-16",2020-03-16
2090,"NA","2020-03-09",2020-03-09
2100,"NA","2020-03-16",2020-03-16
2110,"NA","2020-03-16",2020-03-16
2122,"NA","2020-03-09",2020-03-09
2130,"NA","2020-03-13",2020-03-13
2150,"NA","2020-03-16",2020-03-16
2164,"NA","NA",NA
2170,"NA","2020-03-09",2020-03-09
2180,"NA","2020-03-16",2020-03-16
2185,"NA","2020-03-13",2020-03-13
2188,"NA","2020-03-16",2020-03-16
2201,"NA","2020-03-16",2020-03-16
2220,"NA","2020-03-16",2020-03-16
2232,"NA","2020-03-16",2020-03-16
2240,"NA","2020-03-16",2020-03-16
2261,"NA","2020-03-09",2020-03-09
2270,"NA","2020-03-16",2020-03-16
2280,"NA","2020-03-13",2020-03-13
2282,"NA","2020-03-16",2020-03-16
2290,"NA","2020-03-16",2020-03-16
4001,"NA","2020-03-16",2020-03-16
4003,"2020-03-09","2020-03-16",2020-03-09
4005,"NA","2020-03-16",2020-03-16
4007,"NA","2020-03-09",2020-03-09
4009,"NA","2020-03-16",2020-03-16
4011,"NA","2020-03-16",2020-03-16
4012,"NA","2020-03-16",2020-03-16
4013,"NA","2020-03-09",2020-03-09
4015,"2020-03-09","2020-03-16",2020-03-09
4017,"NA","2020-03-16",2020-03-16
4019,"NA","2020-03-16",2020-03-16
4021,"NA","2020-03-16",2020-03-16
4023,"NA","2020-03-16",2020-03-16
4025,"NA","2020-03-16",2020-03-16
4027,"NA","2020-03-16",2020-03-16
5001,"NA","2020-03-17",2020-03-17
5003,"NA","2020-03-16",2020-03-16
5005,"NA","2020-03-17",2020-03-17
5007,"NA","2020-03-16",2020-03-16
5009,"NA","2020-03-16",2020-03-16
5011,"NA","2020-03-17",2020-03-17
5013,"NA","NA",NA
5015,"NA","NA",NA
5017,"NA","2020-03-16",2020-03-16
5019,"NA","2020-03-16",2020-03-16
5021,"2020-03-16","2020-03-17",2020-03-16
5023,"NA","2020-03-16",2020-03-16
5025,"NA","2020-03-16",2020-03-16
5027,"NA","2020-03-16",2020-03-16
5029,"NA","2020-03-16",2020-03-16
5031,"NA","2020-03-16",2020-03-16
5033,"NA","2020-03-16",2020-03-16
5035,"NA","2020-03-16",2020-03-16
5037,"NA","2020-03-16",2020-03-16
5039,"NA","2020-03-16",2020-03-16
5041,"NA","2020-03-16",2020-03-16
5043,"NA","2020-03-16",2020-03-16
5045,"NA","2020-03-16",2020-03-16
5047,"NA","2020-03-16",2020-03-16
5049,"NA","2020-03-17",2020-03-17
5051,"NA","2020-03-16",2020-03-16
5053,"NA","2020-03-16",2020-03-16
5055,"NA","2020-03-16",2020-03-16
5057,"NA","2020-03-16",2020-03-16
5059,"NA","2020-03-16",2020-03-16
5061,"NA","NA",NA
5063,"NA","2020-03-17",2020-03-17
5065,"NA","2020-03-16",2020-03-16
5067,"NA","2020-03-16",2020-03-16
5069,"NA","2020-03-13",2020-03-13
5071,"NA","2020-03-16",2020-03-16
5073,"NA","2020-03-16",2020-03-16
5075,"NA","NA",NA
5077,"NA","2020-03-16",2020-03-16
5079,"NA","2020-03-16",2020-03-16
5081,"NA","2020-03-16",2020-03-16
5083,"NA","2020-03-16",2020-03-16
5085,"NA","2020-03-16",2020-03-16
5087,"NA","NA",NA
5089,"NA","2020-03-16",2020-03-16
5091,"NA","2020-03-16",2020-03-16
5093,"NA","2020-03-16",2020-03-16
5095,"NA","2020-03-17",2020-03-17
5097,"NA","2020-03-17",2020-03-17
5099,"NA","2020-03-16",2020-03-16
5101,"NA","2020-03-16",2020-03-16
5103,"NA","NA",NA
5105,"NA","2020-03-16",2020-03-16
5107,"NA","2020-03-16",2020-03-16
5109,"NA","2020-03-16",2020-03-16
5111,"NA","2020-03-16",2020-03-16
5113,"NA","2020-03-17",2020-03-17
5115,"NA","2020-03-16",2020-03-16
5117,"NA","NA",NA
5119,"NA","2020-03-13",2020-03-13
5121,"NA","2020-03-17",2020-03-17
5123,"NA","2020-03-16",2020-03-16
5125,"NA","2020-03-13",2020-03-13
5127,"NA","2020-03-16",2020-03-16
5129,"NA","2020-03-17",2020-03-17
5131,"NA","2020-03-16",2020-03-16
5133,"NA","2020-03-16",2020-03-16
5135,"2020-03-16","2020-03-17",2020-03-16
5137,"NA","2020-03-16",2020-03-16
5139,"NA","2020-03-17",2020-03-17
5141,"NA","2020-03-17",2020-03-17
5143,"NA","2020-03-16",2020-03-16
5145,"NA","2020-03-16",2020-03-16
5147,"NA","2020-03-17",2020-03-17
5149,"NA","2020-03-16",2020-03-16
8001,"2020-03-13","2020-03-16",2020-03-13
8003,"NA","2020-03-16",2020-03-16
8005,"NA","2020-03-13",2020-03-13
8007,"NA","2020-03-17",2020-03-17
8009,"NA","2020-03-13",2020-03-13
8011,"NA","2020-03-13",2020-03-13
8013,"NA","2020-03-13",2020-03-13
8015,"NA","2020-03-16",2020-03-16
8017,"NA","2020-03-16",2020-03-16
8019,"NA","2020-03-16",2020-03-16
8021,"NA","2020-03-16",2020-03-16
8023,"NA","2020-03-16",2020-03-16
8025,"NA","2020-03-16",2020-03-16
8027,"NA","2020-03-16",2020-03-16
8029,"NA","2020-03-16",2020-03-16
8031,"NA","2020-03-16",2020-03-16
8033,"NA","2020-03-13",2020-03-13
8035,"NA","2020-03-16",2020-03-16
8037,"2020-03-12","2020-03-16",2020-03-12
8039,"NA","2020-03-16",2020-03-16
8041,"NA","2020-03-16",2020-03-16
8043,"NA","2020-03-13",2020-03-13
8045,"NA","2020-03-16",2020-03-16
8047,"NA","2020-03-16",2020-03-16
8049,"NA","2020-03-16",2020-03-16
8051,"NA","2020-03-13",2020-03-13
8053,"NA","2020-03-16",2020-03-16
8055,"NA","2020-03-16",2020-03-16
8057,"NA","2020-03-13",2020-03-13
8059,"NA","2020-03-16",2020-03-16
8061,"NA","2020-03-13",2020-03-13
8063,"NA","2020-03-16",2020-03-16
8065,"NA","2020-03-16",2020-03-16
8067,"NA","2020-03-16",2020-03-16
8069,"NA","2020-03-16",2020-03-16
8071,"NA","NA",NA
8073,"NA","2020-03-13",2020-03-13
8075,"NA","2020-03-13",2020-03-13
8077,"NA","2020-03-12",2020-03-12
8079,"NA","2020-03-13",2020-03-13
8081,"NA","2020-03-16",2020-03-16
8083,"NA","2020-03-16",2020-03-16
8085,"NA","2020-03-16",2020-03-16
8087,"NA","2020-03-16",2020-03-16
8089,"NA","2020-03-16",2020-03-16
8091,"NA","2020-03-16",2020-03-16
8093,"NA","2020-03-16",2020-03-16
8095,"2020-03-13","2020-03-16",2020-03-13
8097,"NA","2020-03-12",2020-03-12
8099,"2020-03-13","2020-03-16",2020-03-13
8101,"NA","2020-03-16",2020-03-16
8103,"2020-03-16","2020-03-17",2020-03-16
8105,"NA","2020-03-16",2020-03-16
8107,"2020-03-13","2020-03-17",2020-03-13
8109,"NA","2020-03-16",2020-03-16
8111,"NA","2020-03-23",2020-03-23
8113,"NA","2020-03-16",2020-03-16
8115,"NA","2020-03-16",2020-03-16
8117,"NA","2020-03-16",2020-03-16
8119,"NA","2020-03-16",2020-03-16
8121,"NA","2020-03-13",2020-03-13
8123,"NA","2020-03-16",2020-03-16
8125,"NA","2020-03-13",2020-03-13
9001,"2020-03-13","2020-03-16",2020-03-13
9003,"NA","2020-03-16",2020-03-16
9005,"NA","2020-03-16",2020-03-16
9007,"NA","2020-03-16",2020-03-16
9009,"2020-03-13","2020-03-16",2020-03-13
9011,"2020-03-16","2020-03-17",2020-03-16
9013,"NA","2020-03-16",2020-03-16
9015,"NA","2020-03-16",2020-03-16
10001,"NA","2020-03-16",2020-03-16
10003,"NA","2020-03-16",2020-03-16
10005,"NA","2020-03-16",2020-03-16
11001,"NA","2020-03-16",2020-03-16
15001,"NA","2020-03-16",2020-03-16
15003,"NA","2020-03-16",2020-03-16
15007,"NA","2020-03-16",2020-03-16
15009,"NA","2020-03-16",2020-03-16
16001,"2020-03-16","2020-03-18",2020-03-16
16003,"NA","2020-03-18",2020-03-18
16005,"2020-03-17","2020-03-19",2020-03-17
16007,"NA","2020-03-16",2020-03-16
16009,"NA","2020-03-19",2020-03-19
16011,"2020-03-17","2020-03-19",2020-03-17
16013,"NA","2020-03-16",2020-03-16
16015,"2020-03-16","2020-03-19",2020-03-16
16017,"2020-03-17","2020-03-18",2020-03-17
16019,"2020-03-16","2020-03-17",2020-03-16
16021,"NA","2020-03-18",2020-03-18
16023,"NA","2020-03-18",2020-03-18
