"FIPS","date_partial_school_closed","date_all_school_closed","earliest_date_school_closed"
48081,"NA","2020-03-16",2020-03-16
48083,"NA","2020-03-09",2020-03-09
48085,"NA","2020-03-09",2020-03-09
48087,"NA","2020-03-16",2020-03-16
48089,"NA","2020-03-09",2020-03-09
48091,"NA","2020-03-09",2020-03-09
48093,"NA","NA",NA
48095,"NA","2020-03-09",2020-03-09
48097,"NA","2020-03-09",2020-03-09
48099,"NA","2020-03-09",2020-03-09
48101,"NA","2020-03-16",2020-03-16
48103,"NA","2020-03-09",2020-03-09
48105,"NA","2020-03-09",2020-03-09
48107,"NA","2020-03-16",2020-03-16
48109,"NA","2020-03-16",2020-03-16
48111,"NA","2020-03-16",2020-03-16
48113,"NA","2020-03-16",2020-03-16
48115,"NA","2020-03-16",2020-03-16
48117,"NA","2020-03-16",2020-03-16
48119,"NA","2020-03-09",2020-03-09
48121,"NA","2020-03-16",2020-03-16
48123,"NA","2020-03-16",2020-03-16
48125,"NA","2020-03-16",2020-03-16
48127,"NA","NA",NA
48129,"NA","2020-03-16",2020-03-16
48131,"NA","2020-03-16",2020-03-16
48133,"NA","2020-03-09",2020-03-09
48135,"NA","2020-03-09",2020-03-09
48137,"2020-03-09","NA",2020-03-09
48139,"NA","2020-03-09",2020-03-09
48141,"NA","2020-03-16",2020-03-16
48143,"NA","2020-03-09",2020-03-09
48145,"NA","2020-03-09",2020-03-09
48147,"2020-03-09","NA",2020-03-09
48149,"2020-03-09","2020-03-16",2020-03-09
48151,"2020-03-09","2020-03-18",2020-03-09
48153,"NA","2020-03-16",2020-03-16
48155,"NA","2020-03-16",2020-03-16
48157,"NA","2020-03-09",2020-03-09
48159,"NA","2020-03-16",2020-03-16
48161,"2020-03-09","2020-03-16",2020-03-09
48163,"NA","2020-03-09",2020-03-09
48165,"NA","2020-03-16",2020-03-16
48167,"NA","2020-03-09",2020-03-09
48169,"2020-03-16","NA",2020-03-16
48171,"NA","2020-03-09",2020-03-09
48173,"NA","2020-03-16",2020-03-16
48175,"NA","2020-03-16",2020-03-16
48177,"2020-03-09","2020-03-16",2020-03-09
48179,"NA","2020-03-16",2020-03-16
48181,"2020-03-09","NA",2020-03-09
48183,"NA","2020-03-09",2020-03-09
48185,"NA","2020-03-09",2020-03-09
48187,"NA","2020-03-09",2020-03-09
48189,"NA","2020-03-16",2020-03-16
48191,"NA","2020-03-16",2020-03-16
48193,"NA","2020-03-09",2020-03-09
48195,"NA","2020-03-16",2020-03-16
48197,"NA","2020-03-16",2020-03-16
48199,"2020-03-16","2020-03-17",2020-03-16
48201,"2020-03-09","2020-03-13",2020-03-09
48203,"NA","2020-03-09",2020-03-09
48205,"2020-03-16","NA",2020-03-16
48207,"NA","NA",NA
48209,"NA","2020-03-16",2020-03-16
48211,"NA","2020-03-16",2020-03-16
48213,"NA","2020-03-16",2020-03-16
48215,"2020-03-13","2020-03-25",2020-03-13
48217,"NA","2020-03-16",2020-03-16
48219,"NA","2020-03-16",2020-03-16
48221,"NA","2020-03-09",2020-03-09
48223,"NA","2020-03-09",2020-03-09
48225,"NA","2020-03-09",2020-03-09
48227,"NA","2020-03-16",2020-03-16
48229,"NA","2020-03-23",2020-03-23
48231,"NA","2020-03-16",2020-03-16
48233,"NA","2020-03-23",2020-03-23
48235,"NA","2020-03-16",2020-03-16
48237,"NA","2020-03-17",2020-03-17
48239,"NA","2020-03-23",2020-03-23
48241,"NA","2020-03-17",2020-03-17
48243,"NA","2020-03-16",2020-03-16
48245,"2020-03-16","2020-03-23",2020-03-16
48247,"NA","2020-03-16",2020-03-16
48249,"NA","2020-03-16",2020-03-16
48251,"NA","2020-03-23",2020-03-23
48253,"NA","2020-03-16",2020-03-16
48255,"NA","2020-03-16",2020-03-16
48257,"2020-03-16","2020-03-17",2020-03-16
48259,"NA","2020-03-16",2020-03-16
48261,"NA","2020-03-16",2020-03-16
48263,"NA","2020-03-16",2020-03-16
48265,"NA","2020-03-30",2020-03-30
48267,"NA","2020-03-16",2020-03-16
48269,"NA","2020-03-16",2020-03-16
48271,"NA","2020-03-16",2020-03-16
48273,"NA","2020-03-16",2020-03-16
48275,"NA","2020-03-17",2020-03-17
48277,"NA","2020-03-16",2020-03-16
48279,"2020-03-16","2020-03-26",2020-03-16
48281,"NA","2020-03-24",2020-03-24
48283,"NA","2020-03-17",2020-03-17
48285,"NA","2020-03-16",2020-03-16
48287,"2020-03-16","2020-03-30",2020-03-16
48289,"NA","2020-03-16",2020-03-16
48291,"NA","2020-03-16",2020-03-16
48293,"NA","2020-03-16",2020-03-16
48295,"NA","2020-03-23",2020-03-23
48297,"NA","2020-03-16",2020-03-16
48299,"NA","2020-03-23",2020-03-23
48301,"NA","2020-03-16",2020-03-16
48303,"NA","2020-03-19",2020-03-19
48305,"NA","2020-03-19",2020-03-19
48307,"NA","2020-03-16",2020-03-16
48309,"NA","2020-03-16",2020-03-16
48311,"NA","2020-03-16",2020-03-16
48313,"NA","2020-03-16",2020-03-16
48315,"NA","2020-03-23",2020-03-23
48317,"NA","2020-03-16",2020-03-16
48319,"NA","2020-03-09",2020-03-09
48321,"NA","2020-03-09",2020-03-09
48323,"NA","2020-03-09",2020-03-09
48325,"NA","2020-03-09",2020-03-09
48327,"NA","2020-03-09",2020-03-09
48329,"NA","2020-03-09",2020-03-09
48331,"NA","2020-03-09",2020-03-09
48333,"NA","NA",NA
48335,"NA","2020-03-09",2020-03-09
48337,"NA","2020-03-16",2020-03-16
48339,"2020-03-09","2020-03-16",2020-03-09
48341,"NA","2020-03-16",2020-03-16
48343,"NA","2020-03-09",2020-03-09
48345,"NA","NA",NA
48347,"NA","2020-03-09",2020-03-09
48349,"NA","2020-03-09",2020-03-09
